,plntname,instrument,Rp,Teq
0,WASP-12 b,Space Telescope Imaging Spectrograph,1.937,2594.18
21,WASP-12 b,Infrared Array Camera (IRAC),1.937,2594.18
23,HAT-P-1 b,Wide Field Camera 3,1.319,1322.67
51,CoRoT-1 b,SpeX and MORIS,1.49,1822.16
61,GJ 436 b,Wide Field Camera 3,0.372,666.99
89,GJ 1214 b,OSIRIS,0.254,576.17
97,GJ 1214 b,Infrared Array Camera (IRAC),0.254,576.17
99,HAT-P-12 b,Wide Field Camera 3,0.959,957.35
122,HAT-P-16 b,Mont4k CCD,1.289,1627.08
123,HD 97658 b,Wide Field Camera 3,0.21,760.86
151,WASP-6 b,IMACS spectrograph,1.03,1093.43
172,WASP-17 b,ULTRACAM,1.87,1698.89
175,WASP-43 b,OSIRIS,0.93,1379.17
189,WASP-39 b,Wide Field Camera 3,1.27,1120.55
235,WASP-43 b,GROND,0.93,1379.17
249,WASP-19 b,Merope 2Kx2K,1.392,2100.42
250,HD 189733 b,Infrared Array camera (IRAC),1.13,1192.49
256,GJ 3470 b,,0.408,683.29
257,GJ 3470 b,EulerCam,0.408,683.29
260,GJ 3470 b,ISLE,0.408,683.29
263,GJ 3470 b,CCD-2 Direct Imaging Camera,0.408,683.29
264,GJ 3470 b,SBIG imager,0.408,683.29
266,GJ 3470 b,Large Monolithic Imager,0.408,683.29
270,GJ 3470 b,Mont4K CCD Imager,0.408,683.29
277,GJ 3470 b,Wide Field Camera 3,0.408,683.29
388,GJ 3470 b,MOSFIRE,0.408,683.29
394,GJ 3470 b,LBC,0.408,683.29
396,WASP-19 b,GROND,1.392,2100.42
400,WASP-19 b,DFOSC imager,1.392,2100.42
401,WASP-19 b,,1.392,2100.42
403,GJ 1214 b,SOI,0.254,576.17
404,WASP-12 b,Wide Field Camera 3,1.937,2594.18
454,WASP-17 b,Wide Field Camera 3,1.87,1698.89
473,WASP-19 b,Wide Field Camera 3,1.392,2100.42
492,HAT-P-1 b,Space Telescope Imaging Spectrograph,1.319,1322.67
506,HAT-P-32 b,GMOS,1.98,1837.68
535,GJ 1214 b,WFC3,0.254,576.17
562,WASP-19 b,Space Telescope Imaging Spectrograph,1.392,2100.42
572,WASP-19 b,MMIRS,1.392,2100.42
581,GJ 1214 b,MMIRS,0.254,576.17
617,CoRoT-1 b,WFC3,1.49,1822.16
627,TrES-2 b,WFC3,1.36,1581.58
637,TrES-4 b,WFC3,1.61,1708.35
647,HD 209458 b,IRAC,1.39,1476.81
657,GJ 1214 b,TRAPPISTCam,0.254,576.17
658,GJ 1214 b,WIRCam,0.254,576.17
666,GJ 1214 b,Wide Field Camera 3,0.254,576.17
688,GJ 436 b,Infrared Array Camera (IRAC),0.372,666.99
696,HD 189733 b,Space Telescope Imaging Spectrograph,1.13,1192.49
706,HD 189733 b,Advanced Camera for Surveys,1.13,1192.49
722,HD 189733 b,Wide Field Camera 3,1.13,1192.49
724,HD 189733 b,Near Infrared Camera and Multi-Object Spectrometer,1.13,1192.49
748,HD 189733 b,Infrared Array Camera (IRAC),1.13,1192.49
755,HD 189733 b,Multiband Imaging Photometer (MIPS),1.13,1192.49
765,HD 189733 b,HARPS Echelle Spectrograph,1.13,1192.49
791,WASP-31 b,Space Telescope Imaging Spectrograph,1.549,1574.06
827,WASP-31 b,Wide Field Camera 3,1.549,1574.06
852,WASP-31 b,Infrared Array Camera (IRAC),1.549,1574.06
854,WASP-39 b,Marconi CCD,1.27,1120.55
855,WASP-39 b,Mexman,1.27,1120.55
857,WASP-43 b,Mexman,0.93,1379.17
860,WASP-43 b,RATIR,0.93,1379.17
861,WASP-43 b,Wide Field Camera 3,0.93,1379.17
883,WASP-80 b,GROND,0.999,827.36
884,WASP-80 b,Multiple Instruments,0.999,827.36
